date,stress,acwr,atl,ctl28,ctl42,daily_load,monotony,strain,weekly_load,injury,daily_load_roll7,daily_load_roll14,weekly_load_roll7,weekly_load_roll14,strain_roll7,strain_roll14,monotony_roll7,monotony_roll14,acwr_roll7,acwr_roll14,atl_roll7,atl_roll14,ctl28_roll7,ctl28_roll14,ctl42_roll7,ctl42_roll14,stress_lag1,stress_lag7,label_next_10_15
2021-04-09,3.1176470588235294,0.9509069650407075,247.17137142857143,239.03219999999993,233.1023142857143,310.8,0.9359860033795286,2208.3881012240377,1746.4,,244.14285714285714,261.8,1692.5428571428572,1894.5857142857144,2141.3873219217667,2679.3197532079575,0.8600761165330111,0.9234316101098753,0.9122356155425511,0.8121277986259564,240.8816612244898,270.19999387755104,241.5822,274.6146,244.31332517006805,264.40563537414965,3.303030303030303,3.1666666666666665,0
2021-04-10,3.1818181818181817,0.9110715518135489,248.82865714285717,246.76014285714282,243.51429523809523,232.3,0.7918318112478073,1841.0724619135822,1753.8,,223.15714285714284,243.06428571428572,1629.9714285714285,1847.7142857142858,2003.0671931203608,2540.8907098393606,0.8407848078482265,0.9014810529051375,0.9195463724361639,0.8242572893776128,231.6979795918367,263.38167346938775,233.74287755102043,266.93932040816327,235.01265850340135,258.7110666666667,3.1176470588235294,3.066666666666667,0
2021-04-11,3.242424242424242,0.8272825883980421,220.00074285714294,212.12814285714285,232.6864761904762,328.6,0.7240209968649496,1860.3089378330756,1557.6,,263.2714285714286,261.9785714285714,1676.6285714285714,1787.6857142857145,2092.353394691908,2407.2324637328084,0.8528157276854912,0.8753187956786598,0.9759438362785112,0.8307041366111665,238.00424897959184,254.6266693877551,221.0254,256.77347142857144,224.98765850340138,252.27269251700682,3.1818181818181817,3.7,0
2021-04-12,3.5,0.4197794189967931,65.38557142857142,90.71794285714287,128.6978285714286,9.8,0.2826493033714296,519.7045456188586,466.7,,229.7,238.2642857142857,1498.4428571428573,1658.492857142857,1785.4832456054799,2198.8036488563043,0.747849526348767,0.8208547079302547,0.9300021190302059,0.8104916906282831,212.6144163265306,236.0786551020408,197.32181224489796,238.19867551020408,207.85940408163268,238.38923129251702,3.242424242424242,3.111111111111111,0
2021-04-13,3.1724137931034484,0.9677320538371478,326.79997142857144,281.42802857142857,309.5520761904762,392.4,1.1962072877637657,3972.164410008282,2316.0,,260.1,237.26428571428573,1559.5571428571427,1664.7785714285712,2032.622334251581,2256.049478270078,0.8057355727089053,0.8357710815286564,0.9331463311518211,0.8299161801802526,221.09605306122452,236.68678775510207,203.37270204081634,233.48483061224488,218.33208843537417,237.1681129251701,3.5,3.193548387096774,0
2021-04-14,3.217391304347826,0.9409812656224124,319.0288857142857,275.7211714285714,305.4801619047619,218.2,1.1802618409136385,3920.485039105108,2261.6,,256.2714285714286,236.54999999999998,1705.5,1677.7357142857143,2382.971436813247,2311.298189137948,0.8621612062243642,0.8488360039923334,0.9541541714578864,0.8505381826965019,241.36548163265303,238.24803265306122,215.62167346938773,228.8848306122449,232.2639047619048,235.97249387755102,3.1724137931034484,3.21875,0
2021-04-15,3.1,0.9136471841521118,309.51405714285715,271.7786,302.37597142857146,248.8,1.0735067841657204,3402.4390773337404,2195.0,,248.70000000000002,243.37857142857143,1756.7285714285715,1769.9785714285715,2532.0803675766692,2453.073123233215,0.8834948611009771,0.886643631432742,0.8473430039801091,0.8842830921911701,248.10417959183678,251.1358081632653,231.08088979591835,239.96954489795917,250.77273197278913,247.82416326530614,3.217391304347826,3.303030303030303,0
2021-04-16,3.1785714285714284,0.9021077551807359,299.68577142857146,265.7142857142857,297.70018095238095,219.2,1.041773432373984,3176.8778475928593,2111.8,,235.61428571428573,239.8785714285714,1808.9285714285713,1750.7357142857143,2670.436045629358,2405.9116837755623,0.8986073509573279,0.8793417337451696,0.8403716882858275,0.8763036519141892,255.6062367346939,248.24394897959186,234.89261632653057,238.23740816326531,260.0009986394558,252.15716190476192,3.1,3.1176470588235294,0
2021-04-17,3.161290322580645,0.8391512929728725,282.6858,269.84962857142847,293.54258095238094,344.2,1.08173334820447,3198.948547658614,1992.8,,251.59999999999997,237.37857142857143,1843.0714285714287,1736.5214285714285,2864.418343592934,2433.742768356647,0.9400218562368512,0.890403332042539,0.8300973655943021,0.8748218690152331,260.44297142857147,246.07047551020406,238.19111428571426,235.96699591836733,267.1478965986395,251.08027755102043,3.1785714285714284,3.1818181818181817,0
2021-04-18,3.3181818181818183,0.8370630362076769,282.6858857142857,269.44265714285706,294.1573809523809,58.0,0.9557165259136425,2763.3188370403136,1992.8,,212.94285714285712,238.10714285714286,1905.242857142857,1790.935714285714,2993.4197577653968,2542.8865762286523,0.9731212175295215,0.9129684726075064,0.8314945724242501,0.9037192043513806,269.39799183673466,253.70112040816326,246.37890204081629,233.70215102040814,275.9294544217687,250.45855646258502,3.161290322580645,3.242424242424242,0
